"French,English"
"bonjour,hello"
"merci,thank you"
"oui,yes"
"non,no"
"maison,house"
"chien,dog"
"chat,cat"
"pomme,apple"
"livre,book"
"ami,friend"
"famille,family"
"eau,water"
"pain,bread"
"fromage,cheese"
"voiture,car"
"rue,street"
"ville,city"
"musique,music"
"heure,hour"
"jour,day"
"nuit,night"
"temps,time"
"apprendre,to learn"
"école,school"
"parler,to speak"
"écouter,to listen"
"marcher,to walk"
"courir,to run"
"savoir,to know"
"voir,to see"
"venir,to come"
"aller,to go"
"manger,to eat"
"boire,to drink"
"acheter,to buy"
"travailler,to work"
"jouer,to play"
"aimer,to like"
"détester,to hate"
"grand,big"
"petit,small"
"nouveau,new"
"important,important"
"facile,easy"
"difficile,difficult"
"chose,thing"
"question,question"
"répondre,to answer"
"ordinateur,computer"














































































































































































